Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,59.540001,60.049999,57.810001,59.340000,54.700077,82355600
2016-03-14,59.150002,60.970001,57.990002,60.480000,55.750942,90746400
2016-03-21,60.220001,60.820000,58.869999,59.480000,54.829136,49307000
2016-03-28,59.529999,60.230000,58.529999,59.869999,55.188641,70598300
2016-04-04,59.439999,59.570000,57.070000,57.740002,53.225189,70120600
2016-04-11,57.910000,62.910000,57.910000,61.869999,57.454498,116203900
2016-04-18,61.639999,64.660004,61.529999,63.970001,59.404625,75484700
2016-04-25,63.599998,64.639999,62.700001,63.200001,58.689587,67248200
2016-05-02,63.689999,64.000000,60.590000,61.599998,57.203770,71489600
2016-05-09,61.369999,62.599998,61.020000,61.200001,56.832317,60354000
2016-05-16,61.209999,64.220001,61.000000,63.509998,58.977455,75122700
2016-05-23,63.450001,66.199997,63.160000,65.430000,60.760445,61458500
2016-05-30,65.730003,65.919998,63.549999,64.639999,60.026810,60014900
2016-06-06,64.639999,65.760002,63.580002,63.840000,59.283916,60041800
2016-06-13,63.480000,64.339996,60.900002,62.279999,57.835243,83416900
2016-06-20,63.450001,64.150002,59.340000,59.599998,55.346504,97160600
2016-06-27,58.709999,62.189999,57.049999,61.259998,56.888031,123433800
2016-07-04,60.450001,62.169998,58.759998,61.830002,57.864330,74553000
2016-07-11,62.419998,64.980003,62.139999,64.180000,60.063606,94859400
2016-07-18,64.129997,64.400002,63.459999,64.040001,59.932583,48977300
2016-07-25,63.980000,64.690002,63.680000,63.970001,59.867065,51190800
2016-08-01,64.150002,66.370003,63.380001,66.300003,62.047634,68713500
2016-08-08,66.070000,66.489998,64.860001,65.320000,61.130489,49471200
2016-08-15,65.559998,65.989998,65.220001,65.860001,61.635845,48767100
2016-08-22,65.750000,66.879997,65.410004,66.220001,61.972755,52189700
2016-08-29,66.489998,67.769997,66.459999,67.489998,63.161304,68023200
2016-09-05,67.500000,67.680000,66.639999,66.650002,62.375175,58195800
2016-09-12,66.139999,67.300003,65.440002,65.820000,61.598412,85670500
2016-09-19,66.150002,67.900002,65.849998,67.250000,62.936699,63857300
2016-09-26,66.599998,67.209999,65.110001,66.589996,62.319027,81804800
2016-10-03,66.349998,68.180000,66.099998,68.110001,63.741558,84390600
2016-10-10,68.339996,69.059998,66.820000,67.519997,63.648724,82535500
2016-10-17,67.419998,68.680000,66.739998,68.489998,64.563110,65626300
2016-10-24,68.970001,69.769997,68.370003,69.110001,65.147560,56920700
2016-10-31,69.430000,69.779999,67.639999,67.760002,63.874973,66291600
2016-11-07,69.080002,77.250000,69.000000,76.690002,72.292969,168705500
2016-11-14,77.250000,80.440002,76.879997,77.709999,73.254486,138517900
2016-11-21,78.000000,79.449997,77.290001,78.830002,74.310280,45953000
2016-11-28,78.180000,82.279999,78.019997,81.599998,76.921448,93258300
2016-12-05,82.300003,85.500000,82.290001,85.489998,80.588402,89068800
2016-12-12,85.360001,86.489998,83.760002,84.940002,80.069954,95952100
2016-12-19,84.800003,87.169998,84.190002,87.050003,82.058975,72322100
2016-12-26,87.050003,87.389999,85.040001,86.290001,81.342545,44625900
2017-01-02,87.339996,87.760002,85.260002,86.120003,81.182297,63011400
2017-01-09,85.730003,88.169998,85.519997,86.699997,82.181259,91071100
2017-01-16,84.930000,85.220001,83.029999,83.669998,79.309181,86231900
2017-01-23,83.300003,86.980003,83.209999,86.930000,82.399269,73403700
2017-01-30,86.190002,87.309998,84.089996,87.180000,82.636253,73714500
2017-02-06,86.790001,87.480003,85.370003,87.000000,82.465622,59933700
2017-02-13,87.440002,91.040001,87.430000,90.230003,85.527290,87354900
2017-02-20,90.510002,91.339996,89.730003,90.330002,85.622070,52036600
2017-02-27,90.320000,93.980003,89.589996,92.800003,87.963333,81675900
2017-03-06,92.250000,92.849998,90.529999,91.279999,86.522545,71050500
2017-03-13,91.309998,92.809998,90.650002,90.680000,85.953827,73070100
2017-03-20,90.269997,91.169998,86.010002,87.290001,82.740509,101637100
2017-03-27,85.529999,89.459999,85.230003,87.839996,83.261826,71779900
2017-04-03,87.989998,88.540001,85.250000,86.180000,81.688354,79224800
2017-04-10,86.080002,86.989998,84.400002,84.400002,80.924225,75032500
2017-04-17,84.440002,86.080002,84.360001,84.519997,81.039291,86243600
2017-04-24,86.550003,89.129997,86.419998,87.000000,83.417160,80611300
2017-05-01,87.360001,87.739998,86.019997,87.000000,83.417160,62643100
2017-05-08,87.040001,87.839996,86.339996,86.919998,83.340446,46417200
2017-05-15,87.099998,88.089996,83.360001,84.779999,81.288582,80073300
