Date,Open,High,Low,Close,Adj Close,Volume
2014-03-01,null,null,null,null,null,null
2014-04-01,50.799999,52.730000,50.259998,51.750000,45.069130,40244800
2014-05-01,51.650002,53.369999,50.439999,50.630001,44.093723,26638900
2014-06-01,50.740002,52.220001,48.720001,49.250000,42.891880,35423300
2014-07-01,49.430000,52.939999,49.029999,50.220001,44.060688,36674700
2014-08-01,49.889999,54.599998,49.520000,54.320000,47.657833,27846000
2014-09-01,54.320000,58.759998,53.840000,54.279999,47.622742,44781000
2014-10-01,54.279999,54.290001,47.270000,54.060001,47.749500,62790200
2014-11-01,53.849998,55.310001,52.000000,53.630001,47.369694,29348400
2014-12-01,53.680000,55.290001,48.270000,49.049999,43.324314,43314900
2015-01-01,49.230000,49.430000,42.930000,43.650002,38.849583,56014900
2015-02-01,43.869999,49.169998,43.509998,47.029999,41.857880,46770200
2015-03-01,47.090000,49.480000,45.450001,47.529999,42.302876,60041000
2015-04-01,46.840000,49.599998,45.590000,48.860001,43.833202,49566700
2015-05-01,49.299999,49.810001,47.009998,47.299999,42.433701,32494000
2015-06-01,47.580002,50.700001,43.910000,44.070000,39.535999,39113000
2015-07-01,44.349998,45.759998,41.459999,44.139999,39.913136,53661900
2015-08-01,44.009998,47.000000,40.509998,43.290001,39.144531,48420800
2015-09-01,42.049999,44.540001,36.759998,37.549999,33.954197,61483500
2015-10-01,37.810001,43.709999,36.970001,42.299999,38.622932,51696100
2015-11-01,42.279999,43.930000,39.330002,41.450001,37.846806,40294300
2015-12-01,41.700001,42.209999,37.669998,40.299999,36.796776,54131500
2016-01-01,39.639999,40.060001,33.900002,39.070000,36.006107,68302100
2016-02-01,38.709999,41.240002,37.709999,39.340000,36.254940,50653600
2016-03-01,39.959999,48.520000,39.619999,47.299999,43.590702,65020400
2016-04-01,46.830002,51.099998,46.230000,49.779999,46.246311,54442400
2016-05-01,49.740002,50.400002,45.320000,48.509998,45.066463,51893700
2016-06-01,48.070000,51.990002,46.099998,49.410000,45.902576,60980800
2016-07-01,49.340000,57.080002,48.689999,53.639999,50.239132,67294700
2016-08-01,53.639999,53.750000,48.180000,48.509998,45.434372,50471000
2016-09-01,48.599998,50.340000,44.810001,49.450001,46.314777,64487800
2016-10-01,49.250000,49.410000,45.299999,48.849998,46.105160,57582100
2016-11-01,49.139999,63.270000,47.529999,62.189999,58.695599,75407000
2016-12-01,62.590000,68.000000,59.389999,59.520000,56.175625,60514500
2017-01-01,59.740002,62.599998,57.130001,58.090000,55.162106,71782900
2017-02-01,58.570000,65.400002,56.189999,62.570000,59.416294,58851000
2017-03-01,64.250000,66.000000,57.970001,59.720001,56.709946,64643700
2017-04-01,60.139999,62.310001,56.419998,61.330002,58.606239,55043500
2017-05-01,61.650002,62.310001,55.119999,58.099998,55.519684,58928600
2017-06-01,58.169998,60.599998,54.009998,57.869999,55.299900,62479900
2017-07-01,58.150002,62.259998,57.049999,57.669998,55.477108,56163400
2017-08-01,57.869999,58.130001,53.599998,55.110001,53.014450,42577200
2017-09-01,55.610001,56.310001,51.669998,56.040001,53.909088,49320300
2017-10-01,55.480000,60.540001,54.930000,57.830002,56.011242,56930300
2017-11-01,58.680000,59.959999,53.709999,57.500000,55.691628,40054100
2017-12-01,57.750000,64.860001,56.470001,63.580002,61.580414,66500300
2018-01-01,64.209999,70.480003,64.099998,66.959999,65.237793,64089900
2018-02-01,66.650002,69.500000,59.500000,65.400002,63.717922,58691000
2018-03-01,66.489998,69.790001,58.740002,61.090000,59.518772,60369300
2018-04-01,60.799999,66.160004,58.950001,61.619999,60.416317,50838300
2018-05-01,61.369999,66.250000,59.810001,64.190002,62.936119,49486900
2018-06-01,66.029999,68.839996,61.689999,62.500000,61.279125,49980000
2018-07-01,62.029999,68.839996,61.490002,66.930000,66.020874,48207100
2018-08-01,66.860001,67.389999,60.930000,62.500000,61.651051,53276900
2018-09-01,61.759998,65.900002,61.259998,63.450001,62.588150,37156100
2018-10-01,63.779999,66.029999,55.549999,59.119999,58.669216,71115300
2018-11-01,59.680000,64.480003,57.049999,60.410000,59.949383,52385800
2018-12-01,62.080002,62.779999,49.790001,51.810001,51.414959,49304700
2019-01-01,50.869999,61.560001,50.630001,61.240002,61.240002,56222400
2019-02-01,61.259998,62.310001,58.849998,60.570000,60.570000,49832300
2019-03-01,60.779999,61.259998,59.619999,59.650002,59.650002,7680900
