Date,Open,High,Low,Close,Adj Close,Volume
2014-03-01,null,null,null,null,null,null
2014-04-01,60.950001,61.290001,54.349998,55.980000,48.919918,408990800
2014-05-01,55.919998,56.369999,52.970001,55.570000,48.867710,315091600
2014-06-01,55.650002,58.220001,55.020000,57.619999,50.670460,263682000
2014-07-01,57.150002,59.349998,54.959999,57.669998,50.714420,317245600
2014-08-01,57.389999,59.950001,55.599998,59.450001,52.645199,241542700
2014-09-01,59.459999,61.849998,58.779999,60.240002,53.344776,264895100
2014-10-01,60.240002,60.799999,54.259998,60.480000,53.557304,415450800
2014-11-01,60.790001,61.930000,59.419998,60.160000,53.632866,211518300
2014-12-01,59.980000,63.490002,58.110001,62.580002,55.790306,347616300
2015-01-01,62.180000,62.959999,54.369999,54.380001,48.479973,467915100
2015-02-01,54.529999,61.919998,54.270000,61.279999,54.982784,317561500
2015-03-01,61.279999,62.869999,58.869999,60.580002,54.354725,331993100
2015-04-01,60.410000,64.480003,59.650002,63.259998,56.759315,324974700
2015-05-01,63.700001,67.190002,63.250000,65.779999,59.412651,267716800
2015-06-01,65.989998,69.820000,65.580002,67.760002,61.200996,337102600
2015-07-01,68.120003,70.610001,65.209999,68.529999,61.896469,325426300
2015-08-01,68.589996,69.419998,50.070000,64.099998,58.273678,372963100
2015-09-01,62.849998,64.639999,58.730000,60.970001,55.428173,353379200
2015-10-01,61.119999,65.830002,58.529999,64.250000,58.410034,332311400
2015-11-01,64.449997,69.029999,64.389999,66.680000,61.056568,248014800
2015-12-01,67.339996,68.000000,63.509998,66.029999,60.461380,316286300
2016-01-01,63.950001,64.129997,54.660000,59.500000,54.482075,470090500
2016-02-01,59.160000,59.650002,52.500000,56.299999,51.897778,477781500
2016-03-01,56.759998,60.970001,56.669998,59.220001,54.589462,356701600
2016-04-01,59.020000,64.660004,57.070000,63.200001,58.258255,344474900
2016-05-01,63.689999,66.199997,60.590000,65.269997,60.611851,283564200
2016-06-01,64.760002,65.919998,57.049999,62.139999,57.705223,394710800
2016-07-01,61.660000,64.980003,58.759998,63.970001,59.404625,283798300
2016-08-01,64.150002,67.769997,63.380001,67.500000,63.170670,261217500
2016-09-01,67.639999,67.900002,65.110001,66.589996,62.319027,315475600
2016-10-01,66.349998,69.769997,66.099998,69.260002,64.817780,303809400
2016-11-01,69.480003,80.529999,67.639999,80.169998,75.573418,457634900
2016-12-01,80.650002,87.389999,80.650002,85.489998,80.588402,378016700
2017-01-01,87.339996,88.169998,83.029999,84.629997,79.777725,343035100
2017-02-01,85.540001,91.339996,84.160004,90.620003,85.896957,271267200
2017-03-01,92.790001,93.980003,85.230003,87.839996,83.261826,371669000
2017-04-01,87.989998,89.129997,84.360001,87.000000,82.465622,321112200
2017-05-01,87.360001,88.089996,81.639999,82.150002,78.766884,283639500
2017-06-01,82.459999,92.650002,81.650002,91.400002,87.635956,333861800
2017-07-01,91.559998,94.510002,90.320000,91.800003,88.019478,271473000
2017-08-01,92.489998,95.220001,90.160004,90.889999,87.626320,253144800
2017-09-01,91.250000,95.879997,88.080002,95.510002,92.080421,250922800
2017-10-01,95.769997,102.419998,94.959999,100.610001,96.997284,259433200
2017-11-01,101.099998,106.660004,95.949997,104.519997,101.355919,256086400
2017-12-01,104.900002,108.459999,102.199997,106.940002,103.702660,284432100
2018-01-01,107.629997,117.349998,106.809998,115.669998,112.168381,304906400
2018-02-01,115.769997,119.330002,103.980003,115.500000,112.586990,354632300
2018-03-01,115.480003,118.750000,106.650002,109.970001,107.196465,321513800
2018-04-01,109.959999,115.150002,106.080002,108.779999,106.036484,340100300
2018-05-01,108.449997,114.730003,104.959999,107.010002,104.840088,273314600
2018-06-01,108.339996,111.910004,103.110001,104.199997,102.087059,307772000
2018-07-01,103.720001,117.610001,102.199997,114.949997,112.619080,298256100
2018-08-01,115.750000,118.290001,112.970001,114.580002,112.866615,234427900
2018-09-01,114.339996,119.239998,112.519997,112.839996,111.152634,232549000
2018-10-01,113.370003,116.809998,102.730003,109.019997,107.389748,433042000
2018-11-01,109.620003,112.930000,105.980003,111.190002,110.294304,283227700
2018-12-01,112.379997,112.889999,91.110001,97.620003,96.833618,425217000
2019-01-01,95.949997,105.239998,95.940002,103.500000,102.666252,325890900
2019-02-01,104.000000,107.269997,100.059998,104.360001,104.360001,224935100
2019-03-01,105.099998,105.919998,103.260002,103.720001,103.720001,46204100
