Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,86.519997,87.279999,84.000000,86.400002,80.398628,11841100
2016-03-14,85.949997,87.019997,83.820000,86.160004,80.175308,14364200
2016-03-21,86.150002,86.720001,83.820000,84.800003,78.909767,8309600
2016-03-28,85.379997,86.129997,83.459999,85.290001,79.365730,8876000
2016-04-04,85.089996,85.989998,81.059998,81.820000,76.136749,13631600
2016-04-11,82.360001,85.889999,81.440002,84.160004,78.314217,14593700
2016-04-18,83.480003,88.559998,83.379997,88.089996,82.478897,11253800
2016-04-25,87.550003,89.769997,86.940002,87.779999,82.188644,10181000
2016-05-02,88.519997,88.550003,84.570000,85.610001,80.156853,11696500
2016-05-09,84.860001,87.339996,84.389999,84.739998,79.342285,10047300
2016-05-16,84.459999,88.919998,84.400002,88.190002,82.572517,10390600
2016-05-23,88.190002,90.849998,87.309998,90.239998,84.491928,10080300
2016-05-30,90.779999,90.800003,87.110001,88.570000,82.928314,8271000
2016-06-06,88.809998,90.430000,86.779999,87.000000,81.458328,8968400
2016-06-13,86.720001,87.620003,82.699997,83.680000,78.349792,13865800
2016-06-20,85.220001,86.760002,80.930000,81.080002,75.915398,17179000
2016-06-27,79.769997,81.650002,77.400002,80.930000,75.774971,20784500
2016-07-04,80.029999,81.349998,77.860001,80.620003,75.484718,14211000
2016-07-11,81.230003,85.440002,80.830002,82.059998,76.832977,17727000
2016-07-18,81.669998,83.260002,81.500000,82.830002,78.076988,11427300
2016-07-25,82.610001,83.440002,81.980003,82.650002,77.907310,12461800
2016-08-01,83.089996,86.480003,81.349998,86.440002,81.479836,13947800
2016-08-08,86.360001,86.970001,84.599998,85.000000,80.122467,9103700
2016-08-15,85.080002,85.959999,84.970001,85.419998,80.518379,7681300
2016-08-22,85.309998,87.000000,85.089996,86.690002,81.715500,7461500
2016-08-29,86.779999,90.889999,86.540001,90.540001,85.344559,14798000
2016-09-05,90.360001,91.349998,88.849998,89.919998,84.760147,9365200
2016-09-12,89.269997,91.139999,88.809998,89.389999,84.260559,15199500
2016-09-19,89.889999,91.389999,89.410004,89.410004,84.279411,11108400
2016-09-26,88.879997,90.500000,87.040001,90.089996,84.920372,16818400
2016-10-03,89.550003,91.989998,89.120003,91.419998,86.174065,12828700
2016-10-10,91.790001,92.059998,87.339996,88.029999,82.978592,16865400
2016-10-17,88.419998,93.430000,87.970001,92.919998,88.124283,17787300
2016-10-24,93.379997,95.739998,92.760002,95.099998,90.191757,15420700
2016-10-31,95.459999,96.349998,94.300003,94.650002,89.764992,14716000
2016-11-07,96.010002,106.339996,95.300003,105.930000,100.462807,21274900
2016-11-14,106.910004,111.389999,105.470001,111.239998,105.498741,23366900
2016-11-21,111.349998,112.070000,110.190002,112.070000,106.285919,9905700
2016-11-28,111.230003,112.680000,109.160004,111.080002,105.347008,19576700
2016-12-05,112.040001,115.690002,110.849998,115.019997,109.083649,17677200
2016-12-12,114.690002,116.209999,112.610001,114.860001,108.931915,17717800
2016-12-19,114.430000,118.330002,114.379997,117.959999,111.871925,9309000
2016-12-26,117.889999,118.570000,115.360001,116.959999,110.923523,5404000
2017-01-02,118.779999,119.739998,116.599998,119.050003,112.905663,10677700
2017-01-09,118.309998,121.330002,116.730003,118.790001,112.659096,18622800
2017-01-16,117.940002,117.989998,113.660004,117.349998,111.800201,12851200
2017-01-23,116.809998,121.980003,116.500000,121.639999,115.887314,11180700
2017-01-30,120.970001,122.580002,119.000000,122.160004,116.382721,11334800
2017-02-06,121.610001,123.540001,120.500000,123.099998,117.278259,11312900
2017-02-13,124.000000,127.919998,123.620003,126.860001,120.860458,10591400
2017-02-20,127.430000,128.520004,126.139999,126.879997,120.879501,7097800
2017-02-27,127.190002,131.830002,126.660004,127.830002,121.784584,12191400
2017-03-06,126.760002,129.339996,125.440002,126.459999,120.479362,13480000
2017-03-13,126.650002,126.879997,124.349998,124.349998,118.469154,13734900
2017-03-20,124.160004,125.309998,116.489998,119.400002,113.753250,19745500
2017-03-27,116.500000,122.000000,115.250000,120.239998,114.553528,12137000
2017-04-03,120.650002,121.019997,117.480003,119.169998,113.534126,9861400
2017-04-10,119.080002,120.650002,115.599998,115.800003,110.323502,13575300
2017-04-17,115.980003,119.470001,115.449997,118.169998,113.108498,12445700
2017-04-24,121.000000,122.989998,119.739998,119.750000,114.620804,11149000
2017-05-01,120.690002,124.440002,119.769997,123.120003,117.846474,8903500
2017-05-08,123.190002,124.129997,119.559998,120.809998,115.635414,11092700
2017-05-15,120.779999,122.739998,115.660004,118.760002,113.673233,10609700
2017-05-22,119.220001,122.000000,118.260002,121.320000,116.123573,7319500
2017-05-29,120.500000,120.639999,116.629997,119.160004,114.056091,9462200
2017-06-05,119.459999,123.769997,117.059998,123.169998,117.894333,10139400
2017-06-12,123.180000,124.570000,121.550003,122.510002,117.262604,11117600
2017-06-19,123.550003,124.580002,118.889999,119.550003,114.429382,10074600
2017-06-26,119.989998,128.250000,119.410004,124.870003,119.521515,11108600
2017-07-03,125.650002,127.830002,124.839996,126.540001,121.119987,7691000
2017-07-10,126.160004,127.980003,124.940002,127.169998,121.722992,12414800
2017-07-17,127.040001,128.250000,125.099998,126.239998,121.549400,10782400
2017-07-24,126.239998,130.000000,126.139999,127.650002,122.907013,11074200
2017-07-31,127.910004,132.669998,127.459999,132.169998,127.259071,11173600
2017-08-07,131.940002,133.259995,127.639999,128.050003,123.292160,13150300
2017-08-14,129.419998,132.289993,126.150002,127.110001,122.387077,12267800
2017-08-21,127.339996,128.449997,126.419998,127.879997,123.128464,5555500
2017-08-28,128.449997,128.449997,124.650002,126.639999,121.934540,10432800
2017-09-04,125.660004,125.900002,119.769997,121.510002,116.995148,9926800
2017-09-11,123.000000,128.199997,122.660004,128.190002,123.426964,11490200
2017-09-18,128.729996,134.300003,128.550003,133.429993,128.472244,10113600
2017-09-25,133.309998,135.729996,132.250000,134.770004,129.762482,9925600
2017-10-02,135.259995,136.919998,133.110001,135.690002,130.648285,8681300
2017-10-09,136.000000,137.410004,132.639999,133.750000,128.780365,9099800
2017-10-16,133.520004,137.710007,133.229996,136.949997,131.861450,9456300
2017-10-23,137.070007,139.229996,136.350006,138.169998,133.786331,6617300
2017-10-30,137.149994,138.710007,136.100006,138.639999,134.241409,5637200
2017-11-06,137.979996,138.919998,131.360001,132.479996,128.276855,9521600
2017-11-13,131.529999,133.839996,130.460007,132.850006,128.635117,8771800
2017-11-20,133.210007,133.990005,132.339996,132.559998,128.354309,4186200
2017-11-27,132.600006,143.160004,132.240005,141.000000,136.526550,11400900
2017-12-04,143.419998,145.660004,140.619995,143.800003,139.237717,8162200
2017-12-11,143.699997,146.240005,142.679993,144.949997,140.351212,11331800
2017-12-18,146.240005,147.279999,144.759995,146.119995,141.484100,8657000
2017-12-25,146.259995,146.809998,144.289993,144.289993,139.712173,4058600
2018-01-01,145.250000,147.119995,143.940002,144.779999,140.186615,10620000
2018-01-08,144.500000,153.500000,144.270004,151.839996,147.022614,12636100
2018-01-15,152.809998,156.149994,151.529999,155.250000,150.324448,10841500
2018-01-22,155.119995,158.750000,154.309998,158.660004,154.388855,9983400
2018-01-29,158.449997,160.070007,157.100006,157.970001,153.717422,10779500
2018-02-05,156.179993,157.740005,146.339996,151.710007,147.625961,18098600
2018-02-12,152.800003,160.809998,151.009995,159.080002,154.797562,11079500
2018-02-19,158.630005,163.240005,157.250000,160.089996,155.780350,8248700
2018-02-26,160.729996,163.589996,153.820007,157.429993,153.191971,10496700
2018-03-05,155.850006,162.800003,154.960007,162.449997,158.076813,7755900
2018-03-12,162.509995,163.000000,156.789993,160.070007,155.760910,11886100
2018-03-19,159.649994,160.940002,146.910004,147.240005,143.276291,10567400
2018-03-26,150.000000,154.190002,147.860001,151.240005,147.168610,9050100
2018-04-02,151.240005,154.580002,146.020004,147.949997,143.967178,10875500
2018-04-09,148.940002,152.979996,144.850006,145.460007,141.544205,12829100
2018-04-16,145.940002,146.880005,139.860001,144.119995,140.933426,14510100
2018-04-23,144.050003,148.270004,143.619995,147.339996,144.082230,11076800
2018-04-30,147.770004,148.389999,141.350006,145.600006,142.380722,11028100
2018-05-07,145.750000,151.910004,144.220001,150.970001,147.631973,8349700
2018-05-14,151.380005,152.289993,147.929993,148.759995,145.470825,7907500
2018-05-21,149.220001,152.250000,146.220001,148.149994,144.874313,7603400
2018-05-28,146.259995,146.740005,139.960007,145.119995,141.911301,11005400
2018-06-04,145.729996,149.490005,144.800003,148.850006,145.558853,8882000
2018-06-11,149.020004,149.300003,140.350006,143.970001,140.786743,14367800
2018-06-18,142.429993,143.750000,139.009995,139.360001,136.278671,13613300
2018-06-25,139.000000,139.479996,134.589996,135.100006,132.112869,14021900
2018-07-02,134.240005,136.779999,133.500000,136.000000,132.992966,6457100
2018-07-09,136.449997,139.559998,135.250000,138.320007,135.261673,14546900
2018-07-16,138.059998,142.690002,137.479996,142.500000,139.349243,12752200
2018-07-23,142.259995,144.949997,141.990005,144.399994,142.183762,14200800
2018-07-30,144.559998,147.229996,143.740005,145.029999,142.804108,9006100
2018-08-06,145.000000,146.649994,142.750000,143.550003,141.346817,6243000
2018-08-13,143.369995,145.169998,141.559998,144.550003,142.331467,7600600
2018-08-20,144.419998,146.729996,142.779999,142.929993,140.736328,7400800
2018-08-27,143.710007,147.000000,142.500000,143.539993,141.336975,8365100
2018-09-03,143.490005,145.080002,142.199997,142.960007,140.765884,7682200
2018-09-10,143.490005,143.710007,139.809998,140.399994,138.245163,9525900
2018-09-17,140.800003,145.300003,139.229996,144.009995,141.799759,11000100
2018-09-24,143.289993,143.990005,135.850006,136.190002,134.099792,9806500
2018-10-01,137.339996,140.759995,135.309998,138.520004,136.394028,10388300
2018-10-08,138.220001,140.699997,121.610001,124.260002,122.352882,17305100
2018-10-15,125.290001,127.910004,122.169998,125.160004,123.239075,19471100
2018-10-22,125.040001,125.370003,116.550003,119.449997,118.513100,13939200
2018-10-29,120.959999,131.479996,120.599998,129.880005,128.861298,16429200
2018-11-05,129.639999,135.589996,129.449997,134.229996,133.177170,11781600
2018-11-12,134.199997,137.470001,132.190002,136.389999,135.320236,16337500
2018-11-19,135.699997,136.889999,131.149994,132.619995,131.579803,7637600
2018-11-26,134.330002,136.729996,131.779999,135.779999,134.715012,12038500
2018-12-03,137.330002,138.240005,125.389999,126.559998,125.567329,12842100
2018-12-10,126.449997,126.790001,118.290001,118.500000,117.570557,14339400
2018-12-17,118.300003,120.440002,111.330002,111.489998,110.615532,19736100
2018-12-24,111.000000,117.120003,108.449997,115.370003,114.465103,9719200
2018-12-31,115.879997,121.739998,114.849998,121.230003,120.279144,9293000
2019-01-07,120.250000,121.940002,117.940002,120.050003,119.108398,16370600
2019-01-14,119.279999,125.690002,117.169998,125.250000,124.267609,20524500
2019-01-21,124.309998,125.839996,122.800003,124.919998,124.919998,9071400
2019-01-28,124.260002,125.690002,120.500000,122.730003,122.730003,9402000
2019-02-04,123.349998,125.290001,119.690002,121.239998,121.239998,10368500
2019-02-11,121.739998,124.349998,119.370003,124.150002,124.150002,10194300
2019-02-18,122.809998,126.589996,122.809998,124.150002,124.150002,8396700
2019-02-25,124.959999,127.820000,122.440002,126.620003,126.620003,11576900
2019-03-04,126.709999,129.270004,124.660004,127.440002,127.440002,7837400
