Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,null,null,null,null,null,null
2016-04-01,31.709999,32.360001,30.309999,31.660000,29.433014,15649500
2016-05-01,31.730000,32.930000,30.830000,32.310001,30.037294,15102000
2016-06-01,32.290001,35.660000,32.259998,35.660000,33.332050,16911800
2016-07-01,35.720001,35.830002,33.810001,34.639999,32.378628,13934400
2016-08-01,34.560001,34.840000,30.240000,30.410000,28.424776,14252700
2016-09-01,30.459999,31.940001,29.530001,30.480000,28.660959,17294800
2016-10-01,30.459999,30.780001,28.920000,30.700001,28.867830,18082400
2016-11-01,30.559999,31.290001,28.030001,29.730000,27.955719,19101800
2016-12-01,29.830000,30.980000,29.240000,30.100000,28.490803,14449800
2017-01-01,30.000000,30.709999,29.410000,30.410000,28.784231,12334600
2017-02-01,30.180000,31.900000,29.530001,31.740000,30.043127,9673200
2017-03-01,31.670000,32.320000,30.379999,32.150002,30.624174,14316000
2017-04-01,32.180000,33.689999,31.920000,33.090000,31.519560,14210100
2017-05-01,33.110001,33.150002,31.180000,32.689999,31.138542,12810600
2017-06-01,32.869999,34.410000,32.439999,33.299999,31.911810,13664600
2017-07-01,33.419998,33.680000,32.299999,33.380001,31.988476,10469800
2017-08-01,33.410000,34.310001,33.139999,33.400002,32.007641,9055400
2017-09-01,33.540001,34.660000,32.820000,33.189999,32.001347,9300900
2017-10-01,33.180000,36.270000,33.119999,35.480000,34.209335,10432700
2017-11-01,35.730000,38.040001,35.200001,37.990002,36.629452,9738900
2017-12-01,38.070000,39.549999,37.220001,39.230000,38.037083,13199900
2018-01-01,39.150002,39.380001,34.689999,36.209999,35.108913,18262400
2018-02-01,36.209999,36.290001,33.000000,34.189999,33.150337,12770200
2018-03-01,34.220001,34.400002,32.369999,34.060001,33.223087,15944200
2018-04-01,34.000000,35.410000,33.150002,35.150002,34.286308,10246200
2018-05-01,35.110001,35.849998,32.889999,34.700001,33.847366,9888700
2018-06-01,35.080002,35.529999,32.910000,35.180000,34.527367,13663200
2018-07-01,35.099998,37.169998,35.029999,36.939999,36.254719,9798800
2018-08-01,36.799999,38.240002,36.040001,37.180000,36.490265,9821100
2018-09-01,37.310001,38.099998,36.169998,36.900002,36.428200,8657800
2018-10-01,36.849998,38.230000,32.220001,32.529999,32.114071,17713700
2018-11-01,32.700001,34.480000,32.090000,34.290001,33.851574,16792100
2018-12-01,34.169998,35.959999,32.160000,34.189999,33.981197,16400800
2019-01-01,34.000000,35.150002,32.700001,35.049999,34.835945,16288100
2019-02-01,35.000000,36.389999,34.209999,35.939999,35.720509,12045900
2019-03-01,35.939999,36.400002,35.200001,35.209999,35.209999,2389500
